Sat.ElapsedSecs           Sat.Earth.SMA             Sat.Earth.ECC             
0                         7000                      9.99999999999811e-05      
Sat.ElapsedSecs           Sat.Earth.SMA             Sat.Earth.ECC             
4599.481244652998         11991.69360167828         0.001318115613841848      
4659.481244534254         11991.69099416435         0.001317773752876072      
4822.76674490422          11991.66293000926         0.001313842178245117      
5030.396366107743         11991.58403617291         0.00130267295940882       
5243.706965725869         11991.45578114098         0.001284503193216664      
5457.67927437555          11991.28446258146         0.001260308822457095      
5671.738791489042         11991.07758480545         0.001231264209452024      
5885.826427792199         11990.84396960541         0.001198742116135531      
6099.935894657392         11990.59355269184         0.001164258106072339      
6314.070899505168         11990.33698500783         0.001129371393893539      
6528.237172414083         11990.08518911732         0.001095562702686471      
6742.433011019602         11989.8489080139          0.001064099463080561      
6956.658320396673         11989.63823753308         0.001035900551980227      
7170.917364628986         11989.46219443413         0.001011428273951978      
7385.210926062427         11989.32833865137         0.0009906325974729316     
7599.53797403723          11989.24244388789         0.000972962338098791      
7813.89851704007          11989.20824368023         0.0009574464759683819     
8028.291505551897         11989.22726597425         0.0009428297446773005     
8242.716059472878         11989.29875942598         0.0009277342265743393     
8457.168101740535         11989.41971551738         0.000910819730091875      
8671.647635812405         11989.58499288268         0.0008909221359398932     
8886.154134885874         11989.78753060067         0.00086716285025003       
9100.684980035294         11990.01864374042         0.0008390296685586731     
9315.236622886732         11990.2683937003          0.0008064356448540061     
9529.807244148105         11990.52601832757         0.0007697644967307281     
9744.396444945596         11990.78039675605         0.0007299109690659446     
9958.999173820484         11991.02052470501         0.0006883203039870691     
10173.61433504848         11991.23600393607         0.0006470150573921244     
10388.23973812396         11991.41749031318         0.0006085844012344305     
10602.87521174178         11991.55710496979         0.0005760652496760761     
10817.51816715114         11991.64877546327         0.0005526181109572282     
11032.1661177557          11991.68850402973         0.0005409320445844834     
11246.81886364706         11991.67454113376         0.0005424865665409327     
11461.4724446903          11991.6074600438          0.0005570477864032242     
11676.12571644131         11991.49012937167         0.000582751095094337      
11890.78055099817         11991.32758126912         0.0006167098666768376     
12105.43199528474         11991.12679622061         0.0006557442158215281     
12320.07754698861         11990.89639119814         0.0006969101607510118     
12534.71399311675         11990.64624463079         0.0007377619581333467     
12749.34249194339         11990.387060822           0.0007764350558839222     
12963.9578005881          11990.12992041147         0.0008116401299628367     
13178.55921685696         11989.88579234461         0.0008426318138382438     
13393.14243517583         11989.66507620558         0.0008691677710451457     
13607.70275455434         11989.47715820299         0.0008914675154017932     
13822.2425185726          11989.33001286789         0.0009101640355384472     
14036.75761307823         11989.22988466412         0.0009262379098961505     
14251.24258490978         11989.18102486066         0.0009409293471964188     
14465.6966991839          11989.18551946266         0.000955619838232704      
14680.11995590059         11989.24321317505         0.0009716843263354711     
14894.50693238759         11989.35171894296         0.0009903259645984593     
15108.85623525828         11989.50652373645         0.00101241758937543       
15323.17202518461         11989.7011851061          0.001038378038486105      
15537.45216226671         11989.92759060925         0.001068107509886209      
15751.69724088628         11990.1763002511          0.001100997434408926      
15965.90377961984         11990.43692975342         0.001136003905379486      
16180.08119584993         11990.6986003589          0.001171769185655497      
16394.22853498254         11990.9503609006          0.001206755167084529      
16608.34686162416         11991.18165760415         0.001239379712105906      
16822.44225695031         11991.38277728079         0.001268135097879853      
17036.51478256797         11991.54524452137         0.001291682551171428      
17250.571273081           11991.66219289308         0.001308927728312853      
17464.61490407819         11991.72865084618         0.001319072888608449      
17678.65002985345         11991.7417632634          0.001321653183742361      
17892.68288339954         11991.70091955557         0.001316556397461935      
18106.71901908936         11991.60778778195         0.001304028138154145      
18320.76111116912         11991.4662547863          0.001284662993177351      
18534.81462411582         11991.28226509521         0.001259379500900199      
18748.88497808715         11991.06357237744         0.001229378150484027      
18962.97472568695         11990.81941406197         0.001196079950010373      
19177.08533102414         11990.56011512949         0.001161041917113862      
19391.22391819255         11990.29663514245         0.001125848023614586      
19605.39193872828         11990.04010920694         0.001091982485238381      
19819.59038745845         11989.80136129342         0.001060688933902617      
20033.82141056936         11989.59043625035         0.001032836625648427      
20248.08718442218         11989.41617136741         0.001008818231617606      
20462.38440109883         11989.28582456396         0.0009885039509389102     
20676.71579268062         11989.20476191481         0.0009712652973124741     
20891.08176621376         11989.17624608574         0.000956070416848124      
21105.47791365534         11989.20130763301         0.0009416280733691611     
21319.90280610044         11989.27871474464         0.0009265515103531364     
21534.35833482072         11989.40504602558         0.0009095156725263887     
21748.84152602172         11989.5748473234          0.0008893899800700562     
21963.35036584642         11989.78087685174         0.0008653389120661801     
22177.88173308363         11990.01441870156         0.0008368946937133423     
22392.43548031664         11990.26565873082         0.0008040084701500272     
22607.00565775624         11990.5240859085          0.0007670918500067639     
22821.59197151195         11990.7789397148          0.0007270518349555722     
23036.19331077207         11991.01964140686         0.0006853282451433576     
23250.80756423995         11991.23622039324         0.0006439230029136329     
23465.43250809191         11991.41971427238         0.0006053926989478847     
23680.06567113334         11991.56252539138         0.0005727395530364537     
23894.705387461           11991.65872300085         0.000549101036902601      
24109.35257740784         11991.70427844147         0.0005371715388665066     
24324.00360679021         11991.6972252084          0.0005384714472619429     
24538.65823075175         11991.63774410522         0.0005528311283627303     
24753.3118913183          11991.5281641303          0.0005784502755996543     
24967.96321427682         11991.37287767447         0.0006124876198622431     
25182.60986201931         11991.17817656098         0.0006517847537499906     
25397.25180845708         11990.95200806063         0.000693395815076749      
25611.88687597169         11990.7036692123          0.0007348521035278759     
25826.51216180529         11990.44343807412         0.0007742468431914612     
26041.12428040244         11990.18215961234         0.0008102340268857649     
26199.48124433868         11989.9951108326          0.000834108616524674      
